king_title_ruler_consort_female_northern_water;Chieftess;;;;;;;;;;;;;x
king_title_ruler_consort_northern_water;Chief;;;;;;;;;;;;;x
king_title_ruler_consort_female_southern_water;Chieftess;;;;;;;;;;;;;x
king_title_ruler_consort_southern_water;Chief;;;;;;;;;;;;;x

count_title_ruler_consort_female_southern_water;Chieftess;;;;;;;;;;;;;x
count_title_ruler_consort_southern_water;Chief;;;;;;;;;;;;;x
count_title_ruler_consort_female_northern_water;Chieftess;;;;;;;;;;;;;x
count_title_ruler_consort_northern_water;Chief;;;;;;;;;;;;;x

title_prince_northern_air_nomad;Monk;;;;;;;;;;;;;x
title_prince_western_air_nomad;Monk;;;;;;;;;;;;;x
title_prince_southern_air_nomad;Monk;;;;;;;;;;;;;x
title_prince_eastern_air_nomad;Monk;;;;;;;;;;;;;x
title_prince_female_northern_air_nomad;Nun;;;;;;;;;;;;;x
title_prince_female_western_air_nomad;Nun;;;;;;;;;;;;;x
title_prince_female_southern_air_nomad;Nun;;;;;;;;;;;;;x
title_prince_female_eastern_air_nomad;Nun;;;;;;;;;;;;;x

emperor_northern_water;High Chief;;;;;;;;;;;;;x
emperor_female_northern_water;High Chieftess;;;;;;;;;;;;;x

king_northern_water;Chief;;;;;;;;;;;;;x
king_female_northern_water;Chieftess;;;;;;;;;;;;;x
duke_northern_water;Chief;;;;;;;;;;;;;x
duke_female_northern_water;Chieftess;;;;;;;;;;;;;x
emperor_southern_water;High Chief;;;;;;;;;;;;;x
emperor_female_southern_water;High Chieftess;;;;;;;;;;;;;x
king_southern_water;Chief;;;;;;;;;;;;;x
king_female_southern_water;Chieftess;;;;;;;;;;;;;x
duke_southern_water;Chief;;;;;;;;;;;;;x
duke_female_southern_water;Chieftess;;;;;;;;;;;;;x
king_republic_city;High Governor;;;;;;;;;;;;;x
king_female_republic_city;High Governor;;;;;;;;;;;;;x
city_duke_republic_city;Governor;;;;;;;;;;;;;x
duke_republic_city;Governor;;;;;;;;;;;;;x
duke_female_republic_city;Governor;;;;;;;;;;;;;x
count_republic_city;Lord;;;;;;;;;;;;;x
count_female_republic_city;Lady;;;;;;;;;;;;;x
baron_republic_city;Lord;;;;;;;;;;;;;x
baron_female_republic_city;Lady;;;;;;;;;;;;;x
temple_baron_republic_city;Sage;;;;;;;;;;;;;x
job_chancellor_republic_city;Minister of Diplomacy;;;;;;;;;;;;;x
job_marshal_republic_city;Minister of War;;;;;;;;;;;;;x
job_treasurer_republic_city;Minister of Finance;;;;;;;;;;;;;x
job_spymaster_republic_city;Minister of Intelligence;;;;;;;;;;;;;x
job_spiritual_republic_city;Court Sage;;;;;;;;;;;;;x
empire_of_republic_city;Grand Republic of;;;;;;;;;;;;;x
kingdom_of_republic_city;Republic of;;;;;;;;;;;;;x
duchy_of_republic_city;State of;;;;;;;;;;;;;x
county_of_republic_city;Province of;;;;;;;;;;;;;x
